Anuhazi,Pronunciation,English,Category,Chinese,Source Title Number,
Ute-AurorA,OOt- ah-RO-rA’,,3,,,
Aqueion,Ah-QE-on,,3,,3,
Bhendi-Ha’-LA E-Sha-NU’-a Ute-AurorA Aqueion,,Urtha-AquafarE “Gold Dragons”--Winged-lion-biped-humanid,3,,3,
Bhendi-Ra-MA’ Ra-tha-jhen-tU Ute-AurorA Aqueion, ,Urtha-AquafarE “Purple Dragons” -Breatharian-white-humanid,3,,3,
,,Bring forth now the Krystal River of Eternal 1st Creation,3,,3,
,,Bring forth now the Healing Waters of the Edon’s Umshaddhi,3,,3,
,,Bring forth now the Gentle Wind-song of the Sacred Yunasun-Central Sun of the Yunasai Inner Domain Seed-Atom yunasai,3,,3,
,,Bring forth here the Radiant Starlight of the Eternally StarBorn.,3,,3,
,,Let the Krystal River flow unto my doorstep,3,,3,
,,Let the Krystal River cleanse and heal my Soul,3,,3,
,,May the Krystal River Love-song All-embracing,3,,3,
,,Emerge now from my Krysted Krystal Core,3,,3,
,,To softly call me HOME!,3,,3,
DE-va’ en-TUr’-A E’-Sta-en-taO,,,3,,3,
Rei-ha-VA’-ah UN-Krys-ta’-LO,,,3,,4,
Ashalum-Ta- Eckasha Dur,,,3,,4,
,,"In the name of the Melchizedek Cloister, Emerald Order,",3,,4,
,,"Holy Order of the Yunasai, Sacred House of ONE",3,,4,
,,In the name of the Mashaya-Hana Councils of Aquareion,3,,4,
,,In the name of the Councils of KrystalA’(core Domain Councils),3,,4,
,,"In the name of the Councils of Krystal River(Eckasha Radonic-Edonic-Adonic Tri-Matrix operative)
",3,,4,
,,In the name of the Councils of Aurora(Tri-Matrix Races of Aquareion),3,,4,
,,In the Krystic Name and Action of the AL-Hum-Bhra Magistracy Councils of Cosminyahas and God-Source-1st-Eternal,3,,4,
,,"We call upon the Kristiac Powers of the Sha-A’ Da a-moor(Eternal Wind-Song-jah-sas/gases/air)

",3,,4,
,,We call upon the Kristiac Powers of the Jha-et’-A Dur-a (Eternal Flame of the Divine Fire-vapors/fire),3,,4,
,,We call upon the Kristiac Powers of the Aah-QuA’-el(Eternal Water Flow-fluids/liquids/waters),3,,4,
,,We call upon the Kristiac Powers of the et-a-LA’a KrystalA’ (Eternal Foundation Stone-en-tara fema/solids),3,,4,
,,"We call upon the Kristiac Powers of the E-Ta-Ur’ Sha-LA (Eternal Fire-Ice-Ethers 1st- Radiation)

",3,,4,
,,(Note: “Command” means co-creatively directly with God-Source),3,,4,
,,"We now Command with the entrusted Powers of Aurora Light,",3,,4,
,,We now Invoke the Eternal Krysted Sun…,3,,4,
,,"to Co-create, Release and Renew this PLACE(can be a location, being or circumstance in space-time manifestation)",3,,4,
,,We now Declare in Eternal Sanctification.…,3,,4,
,,"This PLACE, this LAND (or body or circumstance in healing applications), and All within, ... Into the Kristiac Protection here-in set.…",3,,4,
,,"...that the Spirit of Urtha-Sala Rise, the Power of Urtha-Sala Heal, and the Wisdom of Urtha Sala here within Preside,",3,,4,
,,in the name of the Eternal Krist of 1st-Creation and by the Divine Vehicle of the Rei-ha-VA’-ah UN-Krys-ta’-LO(Krystal River).,3,,4,
,,"In Co-Creative Krist Embrace, with Absolute Humility, Absolute Love and Absolute Fore-giving, And ONLY in Absolute Service to the Eternal Krist and ITs Ever-Loving Healing Devotion to ALL-LIFE EVERYWHERE, We BANISH NOW from this Sacred PLACE...all that is unwilling to receive the Absolute Cleansing of the KrystalA’, within the Covenants of Divine Right Order and Divine Right Timing, as ONLY Eternal God-Source can know.

",3,,4,
,,In Loving Kristiac Service we offer Release and Host Arrangement to All those present whom are in need and seek to HEAL within the Sacred Cleansing Field of Urtha-Sala and the Eternal Divine Flows of the Rei-ha-VA’-ah UN-Krys-ta’-LO.,3,,4,
,,"In Kristiac Reverence, Joy and Gratitude for the Unceasing Love and Mercy of the ONE-SOURCE Most-Divine, we END NOW and COMPLETE this Kristiac Sanctification and Salvage Rite of Reclamation...

",3,,4,
,,In the name of the ONE-TRUE-SOURCE-GOD-ETERNAL (“God-Source”),3,,5,
,,In the name of the KRIST-DIVINE(“the Eternal Krist”),3,,5,
,,In the name of the Rei-ha-VA’-ah UN-Krys-ta’-LO(Krystal River),3,,5,
,,In the name of the Councils of KrystalA’ (Core Domain Councils),3,,5,
,,"In the name of the Councils of Krystal River (Eckasha Radonic-Edonic-Adonic Tri-Matrix Co-operative)

",3,,5,
,,In the name of the Councils of Aurora (Tri-Matrix Races of Aquareion),3,,5,
,,"In the name of the Melchizedek Cloister, Emerald Order,",3,,5,
,,"Holy Order of the Yunasai, Sacred House of ONE",3,,5,
,,In the Krystic Name and Action of the AL-Hum-Bhra Magistracy Councils of Cosminyahas and God-Source-1st-Eternal,3,,5,
,,And in the name of ___________(your common or spiritual name spoken)-the Eternally Kristiac “I AM THIS I AM.”,3,,5,
Ta A’jha-in’ta DO’-A (3 x),,,3,,5,
BĒ......TŪ ě - Te - Ta ét – A,,The Silent Strength of Eternal Grace” --”Expressed NOW and in this place,3,,5,
Jha -Na -TĀ OO-et‘ Tá A,,"(Brings) “Loving comfort, peaceful solace” (in face of ) “Disharmony, suffering, spiritual challenge”..”as condition may be or is in present experience”",3,,5,
BĒ......TŪ ě - Te - Ta ét – A,,The Silent Strength of Eternal Grace” --”Expressed NOW and in this place,3,,5,
E-Sha -Neū en -Aah Sha LA,,(Brings) “Perpetual Renewal”..”By the means or way of”..”Eternal Living Light”,3,,5,
Ish -ma -tá eĹ -eN TĀ -DUR eTh’ – A,,"(A Stoic, Noble Stance...”I will hold (IN) ..”appropriate or perfect Bearing”..”in context of the Circumstance around me",3,,5,
DĒ Sa - Lá èn --‘tesh A -DUR Ā,,"The power of my Burning Passion” (to)Be enacted or brought forth through”.....”Spiritual Love, Reverence, Loving Respect",3,,5,
Să - Neu -eń LĀ - Ta -Lus .…,,"The unknown or uncertain circumstance” “as the will, the means...(and) “the Way of Safe Passage",3,,5,
Jhá....en DĀ OOT ah LĀ HĒ,,"In Loving humility, gentleness and Harmlessness, as the will, the means..(and)”…“the Way of Safe Passage”…",3,,5,
MĒ Ta Blen DĀ SŪ NŪ ah KĀe,,"Absolute, Unshakeable...Conviction” “Affirmation or Statement” “The will to”...”Being in fully Kristed existence, I state and Affirm with Absolute Unshakeable Conviction the will to be AS the Eternal Krystar Body in the Su Nu ah Kae Kristed Transcendent State.",3,,5,
La - Va un-Ish -ma Ta’A,,the Eternal Kryst Blood Lava/Love flow”...”at once stoic & noble” “as currently existing condition,3,,5,
OOR - TU - UM en -Tesh DĀ - Sha -LĒ,,"Fills now, completely this vessel” “to be brought forth through” “the will of ReishaLEW Edonic spiritualised 2/3M/ 1/3S ShalA",3,,5,
La - Va Un -Ish -ma Ta’A,,the Eternal Kryst Blood Lava/Love flow”...”at once stoic & noble” “as currently existing condition,3,,5,
Ēs -na -VĀ Ho - en -sa de -Ka -LĒ ‘,,"is now engaged to.. reuniting polarities fertilization, absolutely stated/affirmed in action..complete, consummated, birthed, of Spiritualized KaLA State” (LaLa 1/2 M 1/2S = 1/2 Krystar activation & “0-G” turnaround point",3,,5,
ME -Ta -UR DŪ -et - A Sha -dá – Ā,,"in unshakable conviction & absolute manifestation Power”...(and)Harmony, joy, co-resonance expressed now & in this place, I journey onward to God-Source",3,,5,
NE - fa -Kae‘ en-Tesh ALL-UR-eA,,"(to) enter into Krysted Existence, ",3,,5,
DĀ - Sa -La Ā - neu – ReŪ,,"By the power of my Will to, become fully engaged, embraced, at one with, & renewed by my…Eternal Krysted Spirit",3,,5,
Jha -en TĀ - ish - ma NĀ – DE’,,"in loving humility, Gentleness & harmlessness, in stoic and noble, personal intention & passionate desire",3,,5,
LĀ - TŪ Blen ah’ -HĒ Reu -Dha -LĀ,,"By the way of loving strength, affirmation or statement, my safe passage through, Eternal Krysted Spirit Domain, Doorway or window of Light”(doorway of light into the Eternal, Krysted Domain)",3,,5,
Un.......Sancta De Klaris,,One.....Blood(Krysted Sacred Sanctified “Krystal Clear plasma” Blood of a Krysta DhA’-ya-Tei),3,,6,
Un......NE yah’ StA Ta DE,,"One....Mind, (Krysted, clear, awakened, enlightened mind of a Krystar DhA’-ya-Tei)",3,,6,
Un.......e’-Ta-UM DE-vi’,,One...Life Divine.(Divine Eternal Krysted Life of a Krystar Dha’-ya-Tei),3,,6,
Un....NE yah’ StA Ta DE,,One...mind,3,,6,
Un...E -TUR’ -No A - ha’ – DE,,One....Heart (Eternal Krysted Heart),3,,6,
A - Resh’ Dha ShI’,,"Shall Never Part. (“is held secure in Eternal Krystic Unity.”)

",3,,6,
Un....E -TUR’-NO A - ha’ - DE,,"One.....Heart,(Eternal Krysted Heart)",3,,6,
"Un....Dha -Rha’ -DE Sa -A’ -ho
",,"One...Sight,(Shared Vision of Krysted Co -creation)

",3,,6,
e - Cum’ -sa RhAyas,,"Brings in the Light. (enters in the “Love-Light plasma” Currents, the “RhAyas Ah - min’ -yahs,” the Cos-MA’-yah Eternal Aqualene Sun of internal Eternal Creation.)",3,,6,
Un...RhAyas,,One....Light,3,,6,
Un....Ah -min’ -yah,,"One...Love, (Sacred Eternal Love of God Source as expressed through the “Eternal Presence of the presence” embodied within the Eternal E - Ta -ur Krystal plasma currents of the CosMAyah 1st Aqualenen Sun of Internal Eternal Creation)",3,,6,
Krysta -A’jha Ah’ -SA CUM,,Krystar above(Krystar from which we enter creation and to which we return in ascension),3,,6,
Un...Ah -min’ -yah,,"One...Love, (Sacred Eternal Love of God Source as expressed through the “Eternal Presence of the presence” embodied within the Eternal E - Ta -ur Krystal plasma currents of the CosMAyah 1st Aqualenen Sun of Internal Eternal Creation)",3,,6,
Un...MA’ -ei,,"One...Kiss, (Sharing of the E - Ta -ur vapors of Ah - min’ -yah Krysted Love)",3,,6,
Ah - yah’....E - Ta -ur....ah -SĀ ‘ - yah,,"Breathes in .. the Mist; (takes in/inhales, the Eternal E -Ta -ur of Ah -yah God Source consciousness field)",3,,6,
Un...SĀ-ya,,"One....Breath, (1 intake/inhale; as above)",3,,6,
Un...Sa’ - Yah (1 release/exhale),,"One...Sight,(Shared Vision of Krysted Co -creation)  ",3,,6,
Un...Kry’sta a-DhA’ -Rha,,One...Krystened Eye. (eye that sees clearly its path of the Kryst),3,,6,
"Un..., a -DhA’ -Rha",,One...Eye,3,,6,
Un...U -TRA’ -yum,,"One...Prism, (triangulation of Krysted Light - plasmas)  ",3,,6,
Un...Krystallo Dha -Rha’ -DE,,One...Krystal Vision,3,,6,
Un....Ah -min’ -yah,,"One...Love, (Sacred Eternal Love of God Source as expressed through the “Eternal Presence of the presence” embodied within the Eternal E - Ta -ur Krystal plasma currents of the CosMAyah 1st Aqualenen Sun of Internal Eternal Creation)",3,,6,
Un...Dha -Rha’ DE,,One..Vision,3,,6,
mer -ha -RA -ya Rei -Ha -VA -ya Un Krystallo,,The Krystal River Mission. (action/movement of the Krystal River Host.),3,,6,
"Krysta’ - A’jha,....ah -ú Te -jhe.…",,Krystar......I embrace you...and your,3,,6,
ú,oo,,3,,,
"Ah -min’ -yah,....Ah -min’ -yah,......Ah -min’ -yah..…",,Eternal Krysted Love -Light (The “3 Ah -min’ -yah” plasma Currents of the Cos-MA’-yah Aqualene 1st Sun),3,,6,
eh‘ DhU’-TU Aun,,My......Pure and Only Desire ....is…,3,,7,
ah Tei’  Un  Ah-yah’,,to consciously embody...At-ONE-ment with..Eternal 1st Creation God-Source “unutterable ONE”,3,,7,
Tei’,TE,,3,,7,
Un,yoon,,3,,7,
DE’ en Tah’VO Esh’-Ta en et Deh-Aah’-VA’,,and ITs...all encompassing..Divine Eternal Truth and Divine Eternal Splendor,3,,7,
Teu-en’ta Esh’-Ta Aah-VA’-teos,,There exists within the Divine Eternal Truth..of 1st Original Eternal Life Creation,3,,7,
teos,tOs,,3,,7,
UN-SA’ Ah-yah‘ Tah’-VO e-sayn,,"but one..Eternal 1st Creation God-Source “unutterable ONE”, all encompassing & infinitely aware",3,,7,
e-sayn,Es-on,,3,,7,
DhrU’ Ta’Va et Eah-Blen’-Kah’-ho,,of which ALL things...are...an inseparable part,3,,7,
 Eah,A,,3,,7,
Et en DhrU’ Ta Va et Aah-Dha-mhen’-TA-jhun’,,Et en DhrU’ Ta Va et Aah-Dha-mhen’-TA-jhun’,3,,7,
Eh’ DhU’-TU Aun,,My...Pure and Only Desire...is.…,3,,7,
Ooh-ah’ Tei Yun’,,conscious return to and embodiment of,3,,7,
Ah-VA’ Un  et Ah-BRA’-Yon Ah-Dha’-mhen Ah-yah’,,"Eternal-At-ONE-ment,, & everlasting..unity with..Eternal God-Source “unutterable ONE”",3,,7,
Un,yoon,,3,,7,
Ahm esTa’ DhE’ un DhA’-ya Un a’-Dhu,,Let....this be...known..as my GREAT..ONE..DESIRE,3,,7,
Et en DhrU’ Ta’Va Aya-ah’VA E-esh’a,,through..which All things..of Divine Grace...are brought forth/made possible,3,,7,
Ta Va’ en’-Teu Ah-yah’,,All things...emerge from...Eternal 1st Creation God-Source “unutterable ONE”,3,,7,
Ta Va’ ah’-Teu Ah-yah’,,All things return to....Eternal 1st Creation God-Source “unutterable ONE”,3,,7,
Ta Va’ ah’-KhA’-VO Ah-yah‘ oo-et’-dE RA’Va,,"All things...resides within ..Eternal God-Source “unutterable ONE,”...now & at all times",3,,7,
Ah-yah’-Dhan’RU A’-pet MhE’-Ta,,Separation from God is but”....an illusion,3,,7,
Ah’-VA Ah-Dha-Mhen‘ Esh’ta-A ah-Teu-en,,Eternal Unity....(is the)....only Eternal Divine Truth..existing,3,,7,
Bhr-ayn,Bhron,,3,,7,
e-te’-DA Esh’ta oom et-dE’ Bhr-ayn ah-BhrE’-yah Dhun,,and to this...Divine Eternal Truth...I...now..choose..to re-awaken.,3,,7,
ah-BhrE’-yah,,to awaken,1,,7,
Dhun,,do over/repeat,1,,7,
,,"From this Still Point of my Wholeness in manifest decision, I Decree in Sovereign Knowing, here expressed at my Command (lovingly stated absolute intention) the Divine Will and Intention of the ONE-SELF that is ONE GOD.

The ONE-SELF that is ONE GOD THIS I AM.",3,,8,
Mah-Hah-Rah-Tah KHUM BI-VecTus.....(name),,I as D-12 Christos Avatar self..(name) ,3,,8,
IN-A-VHO-KI UN’E-BLEUM BI-Vec’TI,,"Invoke by Divine Loving Command Now, by the Power of the Universal Christos",3,,8,
Mah-ah BI-Vec’TI UN UR’-A- OR-NaM’ - OOR,,the D-12 Divine Christos Blueprint past-present-future,3, NOW the Divine Sea of Liquid Light anchors in the moment.,,8
E’ stA Un’tA E’-Sa Tra’zd Jha‘ HA’-A Rha,,"Absolutely now established, always and forever, in eternal abiding reverent Love of the Eternal ALL-ONE",3,,8,
P’tah-TA Um a Ah-ShA’-Lum,,"Blessed Be all embracing, given forth from the Still Point of Eternal Peace",3,,8,
Thah-A’-Jha in’ta DO A,,"Spoken As IT IS STATED, As SO it IS DONE",3,,8,
Um Sha’-DI UR’-A ah Khum‘ Tun,,"All Embracing Pillar of First Cause Light, I AS THIS expression now.",3,,8,
,,"In the name of the Melchizedek Cloister Emerald Order Eieyani,

Holy Order of the Yunasai,

Sacred House of ONE.",3,,8,
Khum,,I AS,1,,8,
Ma-Ha-Ra-Ta BI-Vectus,,D-12 Christos Avatar Self,1,,8,
In-A-VHO-KI,,invoke by Divine Loving Command,1,,8,
UN,,Now,1,,8,
E-BLEUM,,By the power of,1,,8,
BI-VecTI ,,Universal Christos,1,,8,
Mah ah Bi-VecTI,,D-12 Divine Christos Blueprint past-present-future),1,,8,
UN UR-A-Or-Nam OOR,,Now the Divine Sea of Liquid Light anchors in this moment,3,,8,
E-stA Un-tA E-Sa,,"Absolutely now established, always and forever, in eternal abiding reverent Love of the Eternal ALL-ONE",3,,8,
Trazd-Jha HA-A Rha,,in eternal abiding reverent Love) (HA-A Rha = of the Eternal ALL-ONE,3,,8,
Ptah-TA UM,,"Blessed Be, all embracing",3,,8,
a,,given forth from(in this context),3,,8,
Ah-ShA-Lum,,the Still Point of Eternal Peace,3,,8,
Tha-AJha inta,,Spoken AS IT IS STATED,3,,8,
DO A,,As SO It IS DONE,3,,8,
Um Sha-DI URA,,All Embracing Pillar of First Cause Light,3,,8,
ah Khum Tun,,I AS THIS expression now,3,,8,
,,Once was a night,3,,9,
,,Of a far away dream,3,,9,
,,Once was a night,3,,9,
,,When the candle fires burned,3,,9,
,,Once was a night,3,,9,
,,When the Nightingales sing,3,,9,
,,Once on this night,3,,9,
,,Worlds were born,3,,9,
,,Once on a day,3,,9,
,,When the sun shone its brightest,3,,9,
,,Once on a day,3,,9,
,,When the breezes rose high,3,,9,
,,Once on a day,3,,9,
,,When the rivers flowed with sorrow,3,,9,
,,Once on this day,3,,9,
,,Worlds were gone,3,,9,
,,"But today, in this moment in the heat of the fire",3,,9,
,,Burns a long-aching dream of life returned from the pyre,3,,9,
,,"...Oh come near, new life reborn",3,,9,
,,"Come, come, rise from the waters",3,,9,
,,"Come, come, rise from the sea",3,,9,
,,Reach forth heart of the lion,3,,9,
,,Ringing out from the ancient lands of destiny,3,,9,
,,Once were a peoples,3,,9,
,,Pure and of innocence,3,,9,
,,Once were a peoples,3,,9,
,,Loving and free,3,,9,
,,Once were a people,3,,9,
,,Alive with eternal light,3,,9,
,,Once were a peoples --the Haialeai (Hi-A-Lay) in Victory,3,,9,
,,Once came a wind,3,,9,
,,Dark and cold from the lowly places,3,,9,
,,Once came a spawn,3,,9,
,,Of the dark fallen sun,3,,9,
,,Once when the rays,3,,9,
,,Of the demon spread suffering,3,,9,
,,Once stricken the Haialeai were done,3,,9,
,,"But today, in this moment, in the warmth of the sun",3,,9,
,,Rise the long hidden peoples of the Golden-Silver One,3,,9,
,,Oh come near-Haialeai reborn,3,,9,
,,"Come, come, rise from the dream-lands",3,,9,
,,"Come come, rise from memory",3,,9,
,,Reach forth children of EL-Haialeai,3,,9,
,,Camelot awaits thee where the golden portals call,3,,9,
,,Now in a dream all the worlds that had gone away,3,,9,
,,Now in a dream walking forth to the dawn,3,,9,
,,Here in this dream reaching forth to the universe,3,,9,
,,And call to the port of our home,3,,9,
,,"Come, come, open the doorways",3,,9,
,,"Come come, let us be free",3,,9,
,,"Here, now, we give of our love to thee",3,,9,
,,The homelands so longed for,3,,9,
,,Sacred Khem-A-Lo-Ha-Tea,3,,9,
"e'-Ta A, e'-Ta, LA'-Ha Sha-Dem'-a",,"Come, Come Open the Doorways",3,,9,
"e'Ta A, e'Ta, HE'-ma Ash-ra-DA'",,"Come, Come Let us be free",3,,9,
Chrez-Ha-NA Tu-e-t'a-Deh...Am-or-aea,,"Here, now, we give of our love to thee,",3,,9,
Am-or-aea,Am-Or-A'-a,,3,,9,
Dur-neth'-room ar'-a HA'-na,,The homelands so longed for,3,,9,
e-shoo'-Ra Khem-a-Lo-Ha-Tea,,Sacred Khem-a-Lo-Ha-Tea,3,,9,
