Anuhazi,Pronunciation,English,Chinese,Source Title Number
Jha -en TĀ - ish - ma NĀ – DE’,,"in loving humility, Gentleness & harmlessness, in stoic and noble, personal intention & passionate desire",,5
LĀ - TŪ Blen ah’ -HĒ Reu -Dha -LĀ,,"By the way of loving strength, affirmation or statement, my safe passage through, Eternal Krysted Spirit Domain, Doorway or window of Light”(doorway of light into the Eternal, Krysted Domain)",,5
Un.......Sancta De Klaris,,One.....Blood(Krysted Sacred Sanctified “Krystal Clear plasma” Blood of a Krysta DhA’-ya-Tei),,6
Un......NE yah’ StA Ta DE,,"One....Mind, (Krysted, clear, awakened, enlightened mind of a Krystar DhA’-ya-Tei)",,6
Un.......e’-Ta-UM DE-vi’,,One...Life Divine.(Divine Eternal Krysted Life of a Krystar Dha’-ya-Tei),,6
Un....NE yah’ StA Ta DE,,One...mind,,6
Un...E -TUR’ -No A - ha’ – DE,,One....Heart (Eternal Krysted Heart),,6
A - Resh’ Dha ShI’,,"Shall Never Part. (“is held secure in Eternal Krystic Unity.”)

",,6
Un....E -TUR’-NO A - ha’ - DE,,"One.....Heart,(Eternal Krysted Heart)",,6
"Un....Dha -Rha’ -DE Sa -A’ -ho
",,"One...Sight,(Shared Vision of Krysted Co -creation)

",,6
e - Cum’ -sa RhAyas,,"Brings in the Light. (enters in the “Love-Light plasma” Currents, the “RhAyas Ah - min’ -yahs,” the Cos-MA’-yah Eternal Aqualene Sun of internal Eternal Creation.)",,6
Un...RhAyas,,One....Light,,6
Un....Ah -min’ -yah,,"One...Love, (Sacred Eternal Love of God Source as expressed through the “Eternal Presence of the presence” embodied within the Eternal E - Ta -ur Krystal plasma currents of the CosMAyah 1st Aqualenen Sun of Internal Eternal Creation)",,6
Krysta -A’jha Ah’ -SA CUM,,Krystar above(Krystar from which we enter creation and to which we return in ascension),,6
Un...Ah -min’ -yah,,"One...Love, (Sacred Eternal Love of God Source as expressed through the “Eternal Presence of the presence” embodied within the Eternal E - Ta -ur Krystal plasma currents of the CosMAyah 1st Aqualenen Sun of Internal Eternal Creation)",,6
Un...MA’ -ei,,"One...Kiss, (Sharing of the E - Ta -ur vapors of Ah - min’ -yah Krysted Love)",,6
Ah - yah’....E - Ta -ur....ah -SĀ ‘ - yah,,"Breathes in .. the Mist; (takes in/inhales, the Eternal E -Ta -ur of Ah -yah God Source consciousness field)",,6
Un...SĀ-ya,,"One....Breath, (1 intake/inhale; as above)",,6
Un...Sa’ - Yah (1 release/exhale),,"One...Sight,(Shared Vision of Krysted Co -creation)  ",,6
Un...Kry’sta a-DhA’ -Rha,,One...Krystened Eye. (eye that sees clearly its path of the Kryst),,6
"Un..., a -DhA’ -Rha",,One...Eye,,6
Un...U -TRA’ -yum,,"One...Prism, (triangulation of Krysted Light - plasmas)  ",,6
Un...Krystallo Dha -Rha’ -DE,,One...Krystal Vision,,6
Un....Ah -min’ -yah,,"One...Love, (Sacred Eternal Love of God Source as expressed through the “Eternal Presence of the presence” embodied within the Eternal E - Ta -ur Krystal plasma currents of the CosMAyah 1st Aqualenen Sun of Internal Eternal Creation)",,6
Un...Dha -Rha’ DE,,One..Vision,,6
mer -ha -RA -ya Rei -Ha -VA -ya Un Krystallo,,The Krystal River Mission. (action/movement of the Krystal River Host.),,6
"Krysta’ - A’jha,....ah -ú Te -jhe.…",,Krystar......I embrace you...and your,,6
ú,oo,,,
"Ah -min’ -yah,....Ah -min’ -yah,......Ah -min’ -yah..…",,Eternal Krysted Love -Light (The “3 Ah -min’ -yah” plasma Currents of the Cos-MA’-yah Aqualene 1st Sun),,6
eh‘ DhU’-TU Aun,,My......Pure and Only Desire ....is…,,7
ah Tei’  Un  Ah-yah’,,to consciously embody...At-ONE-ment with..Eternal 1st Creation God-Source “unutterable ONE”,,7
Tei’,TE,,,7
Un,yoon,,,7
DE’ en Tah’VO Esh’-Ta en et Deh-Aah’-VA’,,and ITs...all encompassing..Divine Eternal Truth and Divine Eternal Splendor,,7
Teu-en’ta Esh’-Ta Aah-VA’-teos,,There exists within the Divine Eternal Truth..of 1st Original Eternal Life Creation,,7
teos,tOs,,,7
UN-SA’ Ah-yah‘ Tah’-VO e-sayn,,"but one..Eternal 1st Creation God-Source “unutterable ONE”, all encompassing & infinitely aware",,7
e-sayn,Es-on,,,7
DhrU’ Ta’Va et Eah-Blen’-Kah’-ho,,of which ALL things...are...an inseparable part,,7
 Eah,A,,,7
Et en DhrU’ Ta Va et Aah-Dha-mhen’-TA-jhun’,,Et en DhrU’ Ta Va et Aah-Dha-mhen’-TA-jhun’,,7
Eh’ DhU’-TU Aun,,My...Pure and Only Desire...is.…,,7
Ooh-ah’ Tei Yun’,,conscious return to and embodiment of,,7
Ah-VA’ Un  et Ah-BRA’-Yon Ah-Dha’-mhen Ah-yah’,,"Eternal-At-ONE-ment,, & everlasting..unity with..Eternal God-Source “unutterable ONE”",,7
 Un,yoon,,,7
Ahm esTa’ DhE’ un DhA’-ya Un a’-Dhu,,Let....this be...known..as my GREAT..ONE..DESIRE,,7
Et en DhrU’ Ta’Va Aya-ah’VA E-esh’a,,through..which All things..of Divine Grace...are brought forth/made possible,,7
Ta Va’ en’-Teu Ah-yah’,,All things...emerge from...Eternal 1st Creation God-Source “unutterable ONE”,,7
Ta Va’ ah’-Teu Ah-yah’,,All things return to....Eternal 1st Creation God-Source “unutterable ONE”,,7
Ta Va’ ah’-KhA’-VO Ah-yah‘ oo-et’-dE RA’Va,,"All things...resides within ..Eternal God-Source “unutterable ONE,”...now & at all times",,7
Ah-yah’-Dhan’RU A’-pet MhE’-Ta,,Separation from God is but”....an illusion,,7
Ah’-VA Ah-Dha-Mhen‘ Esh’ta-A ah-Teu-en,,Eternal Unity....(is the)....only Eternal Divine Truth..existing,,7
Bhr-ayn,Bhron,,,7
e-te’-DA Esh’ta oom et-dE’ Bhr-ayn ah-BhrE’-yah Dhun,,and to this...Divine Eternal Truth...I...now..choose..to re-awaken.,,7
ah-BhrE’-yah,,to awaken,,7
Dhun,,do over/repeat,,7
,,"From this Still Point of my Wholeness in manifest decision, I Decree in Sovereign Knowing, here expressed at my Command (lovingly stated absolute intention) the Divine Will and Intention of the ONE-SELF that is ONE GOD.

The ONE-SELF that is ONE GOD THIS I AM.",,8
Mah-Hah-Rah-Tah KHUM BI-VecTus.....(name),,I as D-12 Christos Avatar self..(name) ,,8
IN-A-VHO-KI UN’E-BLEUM BI-Vec’TI,,"Invoke by Divine Loving Command Now, by the Power of the Universal Christos",,8
Mah-ah BI-Vec’TI UN UR’-A- OR-NaM’ - OOR,,the D-12 Divine Christos Blueprint past-present-future; NOW the Divine Sea of Liquid Light anchors in the moment.,,8
E’ stA Un’tA E’-Sa Tra’zd Jha‘ HA’-A Rha,,"Absolutely now established, always and forever, in eternal abiding reverent Love of the Eternal ALL-ONE",,8
P’tah-TA Um a Ah-ShA’-Lum,,"Blessed Be all embracing, given forth from the Still Point of Eternal Peace",,8
Thah-A’-Jha in’ta DO A,,"Spoken As IT IS STATED, As SO it IS DONE",,8
Um Sha’-DI UR’-A ah Khum‘ Tun,,"All Embracing Pillar of First Cause Light, I AS THIS expression now.",,8
,,"In the name of the Melchizedek Cloister Emerald Order Eieyani,

Holy Order of the Yunasai,

Sacred House of ONE.",,8
Khum,,I AS,,8
Ma-Ha-Ra-Ta BI-Vectus,,D-12 Christos Avatar Self,,8
In-A-VHO-KI,,invoke by Divine Loving Command,,8
UN,,Now,,8
E-BLEUM,,By the power of,,8
BI-VecTI ,,Universal Christos,,8
Mah ah Bi-VecTI,,D-12 Divine Christos Blueprint past-present-future),,8
UN UR-A-Or-Nam OOR,,Now the Divine Sea of Liquid Light anchors in this moment,,8
E-stA Un-tA E-Sa,,"Absolutely now established, always and forever, in eternal abiding reverent Love of the Eternal ALL-ONE",,8
Trazd-Jha HA-A Rha,,in eternal abiding reverent Love) (HA-A Rha = of the Eternal ALL-ONE,,8
Ptah-TA UM,,"Blessed Be, all embracing",,8
a,,given forth from(in this context),,8
Ah-ShA-Lum,,the Still Point of Eternal Peace,,8
Tha-AJha inta,,Spoken AS IT IS STATED,,8
DO A,,As SO It IS DONE,,8
Um Sha-DI URA,,All Embracing Pillar of First Cause Light,,8
ah Khum Tun,,I AS THIS expression now,,8
,,Once was a night,,9
,,Of a far away dream,,9
,,Once was a night,,9
,,When the candle fires burned,,9
,,Once was a night,,9
,,When the Nightingales sing,,9
,,Once on this night,,9
,,Worlds were born,,9
,,Once on a day,,9
,,When the sun shone its brightest,,9
,,Once on a day,,9
,,When the breezes rose high,,9
,,Once on a day,,9
,,When the rivers flowed with sorrow,,9
,,Once on this day,,9
,,Worlds were gone,,9
,,"But today, in this moment in the heat of the fire",,9
,,Burns a long-aching dream of life returned from the pyre,,9
,,"...Oh come near, new life reborn",,9
,,"Come, come, rise from the waters",,9
,,"Come, come, rise from the sea",,9
,,Reach forth heart of the lion,,9
,,Ringing out from the ancient lands of destiny,,9
,,Once were a peoples,,9
,,Pure and of innocence,,9
,,Once were a peoples,,9
,,Loving and free,,9
,,Once were a people,,9
,,Alive with eternal light,,9
,,Once were a peoples --the Haialeai (Hi-A-Lay) in Victory,,9
,,Once came a wind,,9
,,Dark and cold from the lowly places,,9
,,Once came a spawn,,9
,,Of the dark fallen sun,,9
,,Once when the rays,,9
,,Of the demon spread suffering,,9
,,Once stricken the Haialeai were done,,9
,,"But today, in this moment, in the warmth of the sun",,9
,,Rise the long hidden peoples of the Golden-Silver One,,9
,,Oh come near-Haialeai reborn,,9
,,"Come, come, rise from the dream-lands",,9
,,"Come come, rise from memory",,9
,,Reach forth children of EL-Haialeai,,9
,,Camelot awaits thee where the golden portals call,,9
,,Now in a dream all the worlds that had gone away,,9
,,Now in a dream walking forth to the dawn,,9
,,Here in this dream reaching forth to the universe,,9
,,And call to the port of our home,,9
,,"Come, come, open the doorways",,9
,,"Come come, let us be free",,9
,,"Here, now, we give of our love to thee",,9
,,The homelands so longed for,,9
,,Sacred Khem-A-Lo-Ha-Tea,,9
"e'-Ta A, e'-Ta, LA'-Ha Sha-Dem'-a",,"Come, Come Open the Doorways",,9
"e'Ta A, e'Ta, HE'-ma Ash-ra-DA'",,"Come, Come Let us be free",,9
Chrez-Ha-NA Tu-e-t'a-Deh...Am-or-aea,,"Here, now, we give of our love to thee,",,9
Am-or-aea,Am-Or-A'-a,,,9
Dur-neth'-room ar'-a HA'-na,,The homelands so longed for,,9
e-shoo'-Ra Khem-a-Lo-Ha-Tea,,Sacred Khem-a-Lo-Ha-Tea,,9
